,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
3601,I,0.37,0.285,0.095,0.226,0.1135,0.0515,0.0675,8
2817,I,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7
6,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
1959,F,0.65,0.51,0.155,1.189,0.483,0.278,0.3645,13
3371,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055,10
943,I,0.465,0.345,0.11,0.4415,0.1755,0.0905,0.12,7
79,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,14
224,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,10
2022,F,0.53,0.43,0.15,0.741,0.325,0.1855,0.196,9
2420,M,0.35,0.255,0.085,0.2145,0.1,0.0465,0.06,13
203,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,13
3510,M,0.65,0.505,0.18,1.469,0.7115,0.3335,0.38,9
19,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9
3492,M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23,8
438,M,0.39,0.3,0.09,0.3055,0.143,0.0645,0.085,9
3927,I,0.5,0.38,0.155,0.6675,0.2745,0.156,0.18,12
2188,M,0.47,0.37,0.135,0.547,0.222,0.1325,0.17,12
90,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15
2223,F,0.555,0.455,0.18,0.958,0.296,0.195,0.39,14
3649,I,0.515,0.405,0.13,0.573,0.213,0.134,0.195,9
1548,I,0.385,0.29,0.09,0.2365,0.1,0.0505,0.076,8
3573,F,0.595,0.465,0.145,0.7955,0.3425,0.1795,0.2425,10
2930,F,0.615,0.475,0.175,1.194,0.559,0.259,0.3165,11
3237,M,0.635,0.51,0.155,1.156,0.428,0.289,0.315,18
2730,I,0.405,0.3,0.09,0.2885,0.138,0.0635,0.0765,6
1613,I,0.55,0.42,0.135,0.816,0.3995,0.1485,0.23,12
256,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,19
808,F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10
3300,F,0.615,0.5,0.205,1.1055,0.4445,0.227,0.39,16
1171,M,0.625,0.48,0.185,1.2065,0.587,0.29,0.286,8
1497,M,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10
1660,M,0.6,0.47,0.165,1.059,0.504,0.241,0.275,9
1104,I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8
3319,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52,19
1227,I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8
2132,F,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,10
1907,F,0.575,0.43,0.155,0.7955,0.3485,0.1925,0.22,9
1584,F,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6
1087,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8
37,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,8
1140,M,0.575,0.455,0.135,0.907,0.4245,0.197,0.26,9
364,F,0.62,0.5,0.175,1.186,0.4985,0.3015,0.35,12
1102,M,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6
3359,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315,20
2343,I,0.17,0.125,0.055,0.0235,0.009,0.0055,0.008,6
3745,I,0.285,0.205,0.07,0.106,0.039,0.0285,0.034,5
231,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,14
2671,F,0.59,0.46,0.16,1.0115,0.445,0.2615,0.2565,8
3988,M,0.665,0.515,0.165,1.3855,0.621,0.302,0.3445,8
3171,M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28,13
1281,I,0.5,0.38,0.135,0.594,0.2945,0.104,0.1565,9
2357,M,0.585,0.455,0.125,1.027,0.391,0.212,0.25,17
2822,I,0.45,0.335,0.105,0.362,0.1575,0.0795,0.1095,7
2150,M,0.445,0.355,0.11,0.4415,0.1805,0.1035,0.1505,10
1895,M,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11
2399,F,0.53,0.43,0.17,0.775,0.35,0.152,0.235,17
2739,I,0.45,0.335,0.095,0.3505,0.1615,0.0625,0.1185,7
773,M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9
1875,F,0.54,0.425,0.16,0.9455,0.3675,0.2005,0.295,9
495,F,0.625,0.5,0.15,0.953,0.3445,0.2235,0.305,15
3955,I,0.49,0.385,0.12,0.591,0.271,0.1125,0.1775,9
932,I,0.445,0.35,0.13,0.4195,0.1695,0.0945,0.1195,7
3119,F,0.525,0.4,0.135,0.714,0.318,0.138,0.208,10
4118,M,0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,9
2735,I,0.42,0.315,0.11,0.4025,0.1855,0.083,0.1015,8
1164,M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10
2263,F,0.62,0.51,0.15,1.456,0.581,0.2875,0.32,13
3024,I,0.475,0.375,0.11,0.456,0.182,0.099,0.16,9
534,I,0.47,0.37,0.14,0.4985,0.2095,0.1225,0.145,10
1036,F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11
2984,F,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
1986,I,0.135,0.13,0.04,0.029,0.0125,0.0065,0.008,4
325,I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,7
3198,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16,11
557,F,0.66,0.5,0.165,1.1905,0.4585,0.298,0.37,12
1794,I,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
1564,I,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7
2972,M,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
201,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,13
4097,M,0.635,0.5,0.18,1.2915,0.594,0.2695,0.37,9
1435,I,0.385,0.3,0.09,0.247,0.1225,0.044,0.0675,5
4011,M,0.615,0.53,0.17,1.12,0.5775,0.2095,0.286,9
1736,F,0.67,0.52,0.19,1.32,0.5235,0.3095,0.4275,13
3495,M,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,8
2139,M,0.68,0.53,0.205,1.496,0.5825,0.337,0.465,14
796,M,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11
416,F,0.63,0.5,0.17,1.3135,0.5595,0.267,0.4,20
2190,M,0.58,0.47,0.165,0.927,0.3215,0.1985,0.315,11
3660,F,0.545,0.41,0.125,0.654,0.2945,0.1315,0.205,10
3034,M,0.54,0.42,0.19,0.6855,0.293,0.163,0.38,10
1773,I,0.465,0.325,0.14,0.7615,0.362,0.1535,0.209,10
1064,I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6
3225,I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115,9
1501,M,0.63,0.455,0.15,1.1315,0.481,0.2745,0.305,9
2775,I,0.585,0.46,0.145,0.8465,0.339,0.167,0.295,10
724,M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11
3164,F,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805,13
3078,F,0.695,0.535,0.2,1.5855,0.667,0.334,0.471,11
718,I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4
1239,I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7
4066,I,0.395,0.31,0.085,0.317,0.153,0.0505,0.0935,7
3097,M,0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,11
984,M,0.57,0.45,0.155,1.195,0.5625,0.2565,0.295,10
823,I,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,6
3414,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.148,7
1074,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7
2779,M,0.59,0.47,0.145,0.9235,0.4545,0.173,0.254,9
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
93,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,10
2299,I,0.495,0.385,0.125,0.585,0.2755,0.1235,0.165,8
4075,M,0.545,0.45,0.15,0.7805,0.3795,0.1625,0.216,8
739,M,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10
3530,I,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
58,I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,4
1540,I,0.36,0.27,0.095,0.2,0.073,0.056,0.061,8
1237,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
2695,M,0.65,0.51,0.155,1.407,0.7215,0.298,0.335,9
1784,M,0.53,0.41,0.14,0.7545,0.3495,0.1715,0.2105,8
1273,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
1823,M,0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
899,I,0.295,0.23,0.08,0.1625,0.065,0.05,0.0385,5
1669,F,0.61,0.465,0.16,1.0725,0.4835,0.2515,0.28,10
3186,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13,6
3298,F,0.62,0.5,0.175,1.146,0.477,0.23,0.39,13
3294,F,0.63,0.5,0.16,1.22,0.4905,0.3,0.345,14
1924,F,0.61,0.46,0.155,0.957,0.4255,0.1975,0.265,8
2579,M,0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7
345,M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13
3388,M,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13
1637,F,0.575,0.465,0.195,0.9965,0.417,0.247,0.47,8
1126,M,0.56,0.43,0.145,0.8995,0.464,0.1775,0.234,9
481,M,0.575,0.4,0.155,0.9325,0.3605,0.2445,0.3,17
589,F,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13
1993,I,0.29,0.21,0.06,0.1195,0.056,0.0235,0.03,6
2558,I,0.405,0.31,0.065,0.3205,0.1575,0.066,0.088,6
440,I,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10
2395,I,0.61,0.475,0.17,1.0385,0.4435,0.241,0.32,14
3043,M,0.575,0.445,0.14,0.737,0.325,0.1405,0.237,10
960,M,0.5,0.4,0.125,0.6725,0.336,0.12,0.1825,7
644,M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,12
1195,F,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
1525,M,0.7,0.555,0.2,1.858,0.73,0.3665,0.595,11
965,M,0.51,0.39,0.135,0.769,0.3935,0.1455,0.19,8
490,M,0.59,0.455,0.145,1.073,0.475,0.19,0.285,14
3578,F,0.6,0.475,0.17,1.088,0.4905,0.2475,0.31,10
3716,I,0.235,0.13,0.075,0.1585,0.0685,0.037,0.0465,5
870,M,0.615,0.505,0.165,1.34,0.5315,0.2815,0.41,12
351,F,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,22
186,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,12
3055,F,0.61,0.495,0.16,1.089,0.469,0.198,0.384,11
194,F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,10
2473,F,0.615,0.47,0.175,1.2985,0.5135,0.343,0.32,14
399,M,0.585,0.455,0.15,0.987,0.4355,0.2075,0.31,11
1189,M,0.69,0.53,0.21,1.583,0.7355,0.405,0.3865,12
779,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
1403,F,0.65,0.51,0.17,1.567,0.7245,0.349,0.391,10
3324,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12
1216,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5
3594,F,0.66,0.5,0.155,1.3765,0.6485,0.288,0.335,12
3512,F,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11
2657,F,0.545,0.4,0.14,0.778,0.368,0.215,0.18,9
1143,M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9
4151,I,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
2707,M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
3810,I,0.525,0.4,0.125,0.5655,0.2435,0.119,0.175,8
2422,F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12
3581,M,0.625,0.48,0.16,1.1415,0.5795,0.2145,0.29,9
1344,M,0.585,0.47,0.165,1.409,0.8,0.229,0.295,10
1641,M,0.575,0.445,0.16,0.839,0.4005,0.198,0.239,9
3147,F,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345,13
3417,M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265,9
487,F,0.625,0.515,0.15,1.2415,0.5235,0.3065,0.36,15
1710,M,0.645,0.51,0.195,1.226,0.5885,0.2215,0.3745,10
605,I,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
4003,I,0.51,0.39,0.125,0.597,0.293,0.1265,0.1555,8
2964,M,0.67,0.525,0.17,1.4005,0.715,0.3025,0.387,9
2641,I,0.475,0.365,0.1,0.1315,0.2025,0.0875,0.123,7
2640,I,0.465,0.355,0.105,0.442,0.2085,0.0975,0.1185,7
3811,M,0.555,0.445,0.13,0.8625,0.4225,0.155,0.24,9
3999,I,0.415,0.31,0.095,0.34,0.181,0.057,0.083,6
3646,I,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,9
2126,F,0.5,0.4,0.125,0.5765,0.2395,0.126,0.185,10
771,I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
1012,M,0.625,0.49,0.175,1.3325,0.5705,0.271,0.405,10
671,F,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17
398,M,0.535,0.44,0.15,0.6765,0.256,0.139,0.26,12
2270,F,0.6,0.475,0.18,1.162,0.511,0.2675,0.32,18
1847,I,0.47,0.375,0.12,0.487,0.196,0.099,0.135,8
2978,M,0.485,0.365,0.155,1.029,0.4235,0.2285,0.313,8
2869,I,0.37,0.28,0.085,0.198,0.0805,0.0455,0.058,5
1503,F,0.63,0.49,0.225,1.336,0.6805,0.259,0.3245,10
421,I,0.49,0.38,0.12,0.529,0.2165,0.139,0.155,11
1408,F,0.66,0.495,0.21,1.548,0.724,0.3525,0.3925,10
2135,M,0.565,0.425,0.1,0.7145,0.3055,0.166,0.18,12
2891,I,0.53,0.38,0.125,0.616,0.292,0.113,0.185,8
1754,M,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,13
1559,I,0.435,0.335,0.1,0.3295,0.129,0.07,0.11,7
1291,I,0.515,0.42,0.135,0.711,0.337,0.144,0.205,13
1030,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
2028,F,0.57,0.435,0.15,0.8295,0.3875,0.156,0.245,10
3784,M,0.62,0.48,0.155,1.2555,0.527,0.374,0.3175,11
525,M,0.175,0.125,0.04,0.024,0.0095,0.006,0.005,4
664,I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
2359,F,0.645,0.525,0.2,1.449,0.601,0.2565,0.505,13
632,M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
2997,F,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
321,I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,4
2338,M,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
3134,M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19,8
157,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16
4156,M,0.475,0.37,0.11,0.4895,0.2185,0.107,0.146,8
2600,F,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,10
2881,I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8
332,I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,5
1128,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8
661,I,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,11
719,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
790,F,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10
3003,F,0.655,0.505,0.175,1.2905,0.6205,0.2965,0.326,10
792,M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9
1729,M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
386,M,0.54,0.42,0.155,0.7385,0.3515,0.152,0.215,12
1078,I,0.42,0.31,0.095,0.279,0.1255,0.051,0.088,6
435,M,0.5,0.41,0.15,0.662,0.2815,0.137,0.22,11
1815,F,0.665,0.515,0.185,1.3405,0.5595,0.293,0.4375,11
2941,F,0.63,0.48,0.165,1.2615,0.5505,0.277,0.3885,10
2487,F,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11
3427,M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
988,M,0.57,0.46,0.17,0.9035,0.4075,0.1935,0.214,7
498,F,0.615,0.525,0.155,1.0385,0.427,0.2315,0.345,11
4127,I,0.55,0.445,0.11,0.7935,0.378,0.142,0.26,10
3436,I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075,6
2624,M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
45,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,7
1549,I,0.385,0.28,0.095,0.257,0.119,0.059,0.07,7
1785,F,0.535,0.425,0.135,0.771,0.3765,0.1815,0.1795,8
3788,F,0.63,0.475,0.15,1.072,0.433,0.2975,0.315,8
3020,I,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,8
2933,F,0.615,0.495,0.165,1.198,0.5415,0.2865,0.3185,10
3812,F,0.61,0.49,0.17,1.137,0.4605,0.2825,0.344,12
1432,I,0.365,0.255,0.08,0.1985,0.0785,0.0345,0.053,5
1892,M,0.565,0.45,0.16,0.895,0.415,0.195,0.246,9
2328,F,0.525,0.425,0.145,0.7995,0.3345,0.209,0.24,15
993,M,0.58,0.455,0.15,1.012,0.4985,0.2115,0.2835,10
3545,I,0.475,0.36,0.135,0.4355,0.196,0.0925,0.125,8
2605,F,0.62,0.475,0.16,1.3245,0.6865,0.233,0.3275,9
2882,I,0.5,0.39,0.13,0.5075,0.2115,0.104,0.1755,9
2325,F,0.415,0.305,0.105,0.3605,0.12,0.082,0.1,10
710,I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7
799,F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11
2794,F,0.63,0.475,0.155,1.0005,0.452,0.252,0.265,10
1947,M,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
3460,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825,9
1995,I,0.32,0.24,0.07,0.133,0.0585,0.0255,0.041,6
4140,F,0.645,0.535,0.19,1.2395,0.468,0.2385,0.424,10
2427,M,0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6
3440,I,0.465,0.37,0.1,0.5055,0.234,0.11,0.14,7
2932,M,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,10
2926,I,0.61,0.425,0.155,1.0485,0.507,0.1955,0.274,11
813,I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5
4019,M,0.66,0.515,0.155,1.4415,0.7055,0.3555,0.335,10
2389,M,0.42,0.34,0.125,0.4495,0.165,0.1125,0.144,11
1848,I,0.475,0.34,0.105,0.4535,0.203,0.08,0.1465,9
3794,M,0.67,0.52,0.175,1.4755,0.6275,0.379,0.374,10
2630,I,0.355,0.285,0.095,0.2275,0.0955,0.0475,0.0715,6
4104,F,0.71,0.545,0.175,1.907,0.8725,0.4565,0.475,11
110,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,9
3535,I,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,9
678,F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23
3575,M,0.6,0.47,0.15,0.928,0.4225,0.183,0.275,8
1518,M,0.67,0.545,0.2,1.7025,0.833,0.374,0.41,11
1973,M,0.68,0.54,0.155,1.534,0.671,0.379,0.384,10
3543,I,0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8
314,M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,23
1093,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
1177,F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
1400,F,0.65,0.59,0.22,1.662,0.77,0.378,0.435,11
2045,I,0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
3842,F,0.615,0.475,0.145,0.9525,0.3915,0.195,0.32,9
2282,F,0.495,0.385,0.13,0.6905,0.3125,0.179,0.175,10
2466,M,0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
3620,F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9
1653,M,0.595,0.45,0.145,0.959,0.463,0.2065,0.2535,10
2893,F,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8
1941,F,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
4065,I,0.37,0.275,0.08,0.2325,0.093,0.056,0.072,6
3143,I,0.2,0.15,0.04,0.046,0.021,0.007,0.0065,4
3106,I,0.3,0.22,0.065,0.1235,0.059,0.026,0.0315,5
3048,I,0.59,0.47,0.145,0.974,0.453,0.236,0.289,8
2084,F,0.69,0.54,0.195,1.2525,0.73,0.3975,0.462,12
2379,F,0.36,0.265,0.09,0.2165,0.096,0.037,0.0735,10
3531,I,0.365,0.275,0.09,0.2345,0.108,0.051,0.0625,7
383,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
701,F,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14
3756,I,0.515,0.39,0.12,0.565,0.235,0.135,0.179,9
4049,M,0.625,0.495,0.155,1.025,0.46,0.1945,0.34,9
3806,I,0.425,0.31,0.095,0.3505,0.1645,0.071,0.1,8
2329,I,0.48,0.39,0.145,0.5825,0.2315,0.121,0.255,15
4150,I,0.33,0.23,0.08,0.14,0.0565,0.0365,0.046,7
1163,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9
990,F,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9
834,I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7
2374,I,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12
726,M,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10
1159,M,0.605,0.48,0.17,1.1835,0.582,0.2365,0.317,10
3362,M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10
2606,M,0.625,0.48,0.17,1.3555,0.671,0.268,0.3385,10
2078,M,0.61,0.48,0.165,1.2435,0.5575,0.2675,0.372,8
7,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16
2809,M,0.71,0.565,0.2,1.601,0.706,0.321,0.45,11
2217,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13
3757,I,0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10
403,F,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,10
3635,I,0.37,0.275,0.095,0.257,0.1015,0.055,0.0825,6
50,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,8
2118,F,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8
650,M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5
3623,M,0.66,0.53,0.175,1.583,0.7395,0.3505,0.405,10
2008,I,0.425,0.315,0.095,0.3675,0.1865,0.0675,0.0985,7
3334,I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085,8
558,F,0.66,0.53,0.17,1.326,0.519,0.2625,0.44,13
781,M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12
1508,M,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,11
1502,M,0.63,0.48,0.15,1.271,0.6605,0.2425,0.31,11
2854,F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
2722,I,0.375,0.275,0.095,0.2295,0.095,0.0545,0.066,7
3315,M,0.35,0.26,0.09,0.195,0.0745,0.041,0.0655,9
3846,I,0.37,0.275,0.085,0.2045,0.096,0.056,0.08,6
4175,F,0.625,0.485,0.15,1.0945,0.531,0.261,0.296,10
1556,I,0.415,0.325,0.1,0.313,0.139,0.0625,0.0965,7
891,M,0.73,0.595,0.23,2.8255,1.1465,0.419,0.897,17
1364,M,0.61,0.48,0.165,1.244,0.6345,0.257,0.305,12
1698,M,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
1852,I,0.495,0.38,0.135,0.5095,0.2065,0.1165,0.165,8
372,F,0.68,0.58,0.2,1.787,0.585,0.453,0.6,19
854,M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
1881,I,0.55,0.45,0.13,0.804,0.3375,0.1405,0.23,6
3336,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145,11
318,F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,18
3622,M,0.655,0.505,0.165,1.27,0.6035,0.262,0.335,10
4117,F,0.64,0.505,0.175,1.3185,0.6185,0.302,0.3315,9
1945,F,0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
3960,M,0.69,0.55,0.195,1.777,0.769,0.38,0.4305,11
3269,F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31,12
563,F,0.545,0.415,0.15,0.7335,0.2795,0.163,0.2185,11
427,M,0.6,0.5,0.16,1.015,0.3995,0.1735,0.33,19
2444,M,0.5,0.355,0.14,0.528,0.2125,0.149,0.14,9
2586,F,0.555,0.425,0.14,0.963,0.44,0.224,0.24,7
3395,F,0.605,0.45,0.165,1.2225,0.357,0.202,0.385,13
1122,M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9
957,M,0.5,0.39,0.135,0.6595,0.3145,0.1535,0.1565,6
2665,F,0.575,0.48,0.15,0.897,0.4235,0.1905,0.248,8
262,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,11
769,F,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17
1322,F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10
2336,F,0.565,0.48,0.175,0.957,0.3885,0.215,0.275,18
4124,I,0.5,0.385,0.12,0.516,0.197,0.1305,0.165,8
171,F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,7
3816,M,0.465,0.355,0.12,0.5315,0.2725,0.097,0.1395,8
1737,F,0.67,0.55,0.155,1.566,0.858,0.339,0.354,10
1156,M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10
3286,F,0.62,0.51,0.175,1.1255,0.4985,0.227,0.315,14
1805,M,0.625,0.495,0.175,1.254,0.5815,0.286,0.3185,9
3447,F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146,8
3505,M,0.625,0.495,0.18,1.0815,0.4715,0.254,0.3135,10
3477,I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075,6
3541,I,0.45,0.35,0.11,0.514,0.253,0.1045,0.14,8
3475,I,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
3701,M,0.66,0.51,0.18,1.261,0.5,0.2335,0.339,10
1658,I,0.6,0.48,0.17,0.9175,0.38,0.2225,0.29,8
2723,I,0.385,0.3,0.125,0.343,0.1705,0.0735,0.081,7
1735,M,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11
2883,I,0.5,0.37,0.12,0.5445,0.249,0.1065,0.152,8
2102,I,0.41,0.31,0.11,0.315,0.124,0.082,0.095,9
133,I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7
3563,I,0.575,0.455,0.155,0.8725,0.349,0.2095,0.285,8
2712,I,0.21,0.15,0.045,0.04,0.0135,0.008,0.0105,4
703,M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12
394,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
936,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.119,7
